time,zone,alarm_type,event,message
2026-02-19T14:38:08.317322,20,offline,raise,Zone 20 is offline
2026-02-19T14:41:07.176322,19,offline,raise,Zone 19 is offline
2026-02-19T14:53:21.919002,18,offline,raise,Zone 18 is offline
2026-02-19T14:53:53.385274,19,stale,raise,Zone 19: stale data
2026-02-19T14:57:20.737296,20,offline,raise,Zone 20 is offline
2026-02-19T15:12:24.441033,6,offline,raise,Zone 6 is offline
e
2026-02-19T15:20:53.462332,2,invalidSensor,raise,Zone 2: invalid sensor value
2026-02-19T15:20:53.492723,7,invalidSensor,raise,Zone 7: invalid sensor value
2026-02-19T15:20:53.499020,8,invalidSensor,raise,Zone 8: invalid sensor value
2026-02-19T15:20:53.505057,9,invalidSensor,raise,Zone 9: invalid sensor value
2026-02-19T15:20:53.538427,15,invalidSensor,raise,Zone 15: invalid sensor value
2026-02-19T15:20:53.545403,16,invalidSensor,raise,Zone 16: invalid sensor value
2026-02-19T15:20:53.569683,18,stale,raise,Zone 18: stale data
alid sensor value
2026-02-19T15:20:53.515890,11,invalidSensor,raise,Zone 11: invalid sensor value
2026-02-22T09:38:53.774185,20,offline,raise,Zone 20 is offline
2026-02-22T09:56:18.822863,2,invalidSensor,raise,Zone 2: invalid sensor value
2026-02-22T09:56:18.833741,4,invalidSensor,raise,Zone 4: invalid sensor value
2026-02-22T09:56:18.858905,8,invalidSensor,raise,Zone 8: invalid sensor value
2026-02-22T09:56:18.884017,12,invalidSensor,raise,Zone 12: invalid sensor value
2026-02-22T09:56:18.896355,14,invalidSensor,raise,Zone 14: invalid sensor value
2026-02-22T09:56:18.914314,17,invalidSensor,raise,Zone 17: invalid sensor value
2026-02-22T09:56:18.939360,19,stale,raise,Zone 19: stale data
alid sensor value
2026-02-22T09:58:11.506634,20,offline,raise,Zone 20 is offline
2026-02-22T12:02:33.149527,20,offline,raise,Zone 20 is offline
2026-02-22T12:03:17.982949,20,offline,raise,Zone 20 is offline
2026-02-22T12:16:31.135235,20,offline,raise,Zone 20 is offline
2026-02-22T12:16:51.682518,1,invalidSensor,raise,Zone 1: invalid sensor value
2026-02-22T12:16:52.203565,2,invalidSensor,raise,Zone 2: invalid sensor value
2026-02-22T12:16:52.714053,3,invalidSensor,raise,Zone 3: invalid sensor value
2026-02-22T12:16:57.442860,5,invalidSensor,raise,Zone 5: invalid sensor value
2026-02-22T12:17:00.451490,6,invalidSensor,raise,Zone 6: invalid sensor value
2026-02-22T12:17:03.446827,7,invalidSensor,raise,Zone 7: invalid sensor value
2026-02-22T12:17:06.457270,8,invalidSensor,raise,Zone 8: invalid sensor value
2026-02-22T12:17:09.471020,9,invalidSensor,raise,Zone 9: invalid sensor value
2026-02-22T12:17:12.465193,10,invalidSensor,raise,Zone 10: invalid sensor value
2026-02-22T12:17:15.465038,11,invalidSensor,raise,Zone 11: invalid sensor value
2026-02-22T12:17:18.469121,12,invalidSensor,raise,Zone 12: invalid sensor value
2026-02-22T12:17:19.419077,13,invalidSensor,raise,Zone 13: invalid sensor value
