time,slave_id,event,operation,address,count,request_regs,response_regs,trigger,last_applied,last_result,last_io_err,message
2026-03-08T13:28:22.355062,1,refresh,lighting_refresh_s1_zeroBased,1745,3,,0|0|0,0,0,0,0,
2026-03-08T13:28:25.309969,3,refresh,lighting_refresh_s3_zeroBased,1785,3,,0|0|0,0,0,0,0,
2026-03-08T13:28:28.308377,5,refresh,lighting_refresh_s5_zeroBased,1825,3,,0|0|0,0,0,0,0,
2026-03-08T13:28:29.260740,6,refresh,lighting_refresh_s6_zeroBased,1845,3,,0|0|0,0,0,0,0,
2026-03-08T13:28:29.771335,7,refresh,lighting_refresh_s7_zeroBased,1865,3,,0|0|0,0,0,0,0,
2026-03-08T13:28:32.817958,9,refresh,lighting_refresh_s9_zeroBased,1905,3,,0|0|0,0,0,0,0,
2026-03-08T13:28:33.761195,10,refresh,lighting_refresh_s10_zeroBased,1925,3,,0|0|0,0,0,0,0,
2026-03-08T13:28:34.282053,11,refresh,lighting_refresh_s11_zeroBased,1945,3,,0|0|0,0,0,0,0,
2026-03-08T13:28:37.301625,13,refresh,lighting_refresh_s13_zeroBased,1985,3,,0|0|0,0,0,0,0,
2026-03-08T13:28:40.309432,15,refresh,lighting_refresh_s15_zeroBased,2025,3,,0|0|0,0,0,0,0,
2026-03-08T13:28:43.314752,17,refresh,lighting_refresh_s17_zeroBased,2065,3,,0|0|0,0,0,0,0,
2026-03-08T13:28:44.257999,18,refresh,lighting_refresh_s18_zeroBased,2085,3,,0|0|0,0,0,0,0,
2026-03-08T13:28:44.769627,19,refresh,lighting_refresh_s19_zeroBased,2105,3,,0|0|0,0,0,0,0,
2026-03-08T13:39:53.419476,1,refresh,lighting_refresh_s1_zeroBased,1745,3,,0|0|0,0,0,0,0,
2026-03-08T13:39:54.252013,2,refresh,lighting_refresh_s2_zeroBased,1765,3,,0|0|0,0,0,0,0,
2026-03-08T13:39:54.778569,3,refresh,lighting_refresh_s3_zeroBased,1785,3,,0|0|0,0,0,0,0,
2026-03-08T13:39:57.789333,5,refresh,lighting_refresh_s5_zeroBased,1825,3,,0|0|0,0,0,0,0,
2026-03-08T13:43:31.653551,1,refresh,lighting_refresh_s1_zeroBased,1745,3,,0|0|0,0,0,0,0,
2026-03-08T13:43:32.462625,2,refresh,lighting_refresh_s2_zeroBased,1765,3,,0|0|0,0,0,0,0,
2026-03-08T13:43:35.450168,4,refresh,lighting_refresh_s4_zeroBased,1805,3,,0|0|0,0,0,0,0,
2026-03-08T13:43:40.647231,7,refresh,lighting_refresh_s7_zeroBased,1865,3,,0|0|0,0,0,0,0,
2026-03-08T13:43:42.443986,8,refresh,lighting_refresh_s8_zeroBased,1885,3,,0|0|0,0,0,0,0,
2026-03-08T13:43:45.363091,1,refresh,lighting_refresh_s1_zeroBased,1745,3,,0|0|0,0,0,0,0,
2026-03-08T13:43:48.188310,3,refresh,lighting_refresh_s3_zeroBased,1785,3,,0|0|0,0,0,0,0,
2026-03-08T13:43:51.184652,5,refresh,lighting_refresh_s5_zeroBased,1825,3,,0|0|0,0,0,0,0,
2026-03-08T13:43:52.134685,6,refresh,lighting_refresh_s6_zeroBased,1845,3,,0|0|0,0,0,0,0,
2026-03-08T13:43:52.649477,7,refresh,lighting_refresh_s7_zeroBased,1865,3,,0|0|0,0,0,0,0,
2026-03-08T13:43:55.688335,9,refresh,lighting_refresh_s9_zeroBased,1905,3,,0|0|0,0,0,0,0,
2026-03-08T13:43:56.635426,10,refresh,lighting_refresh_s10_zeroBased,1925,3,,0|0|0,0,0,0,0,
2026-03-08T13:43:57.147256,11,refresh,lighting_refresh_s11_zeroBased,1945,3,,0|0|0,0,0,0,0,
2026-03-08T13:44:00.181909,13,refresh,lighting_refresh_s13_zeroBased,1985,3,,0|0|0,0,0,0,0,
